序號,地區別,縣市,觀光工廠名稱,郵遞區號,地址,觀光工廠預約電話,網址
22,北部,桃園市,GFun機能服飾紡織生活館,32849,桃園市觀音區樹林里工業六路3號,0800-038038,http://www.gfun.com.tw/
23,北部,桃園市,大溪老茶廠,33558,桃園市大溪區復興路二段732巷80號,03-3825089,http://www.daxitea.com
24,北部,桃園市,江記豆腐乳文化館,32053,桃園市中壢區月眉路2段248巷85號,03-4986018#113,http://www.xpl.com.tw
25,北部,桃園市,老K舒眠文化館,32741,桃園市新屋區梅高路３段97號,03-4205050,http://www.kingbedhaha.com.tw
26,北部,桃園市,自然接觸保養品亮點體驗園,32662,桃園市楊梅區楊湖路一段351號,03-4789999,http://www.ntnt.com.tw
27,北部,桃園市,利百代彩筆文創館,330427,桃園市桃園區大樹里大誠路2號,03-3613020,http://www.libertycc.com.tw/
28,北部,桃園市,東和音樂體驗館,33554,桃園市大溪區信義路226號,03-3882215#210,http://www.music4fun.com.tw
29,北部,桃園市,金格｜卡司．蒂菈樂園,33853,桃園市蘆竹區宏竹村大竹北路90-66號,03-2551999,http://www.castella-land.com.tw/
30,北部,桃園市,南僑桃園觀光體驗工廠,333613,桃園市龜山區興邦路35號,03-2630264,http://www.namchow.com.tw
31,北部,桃園市,國巨洋傘文創園區,337012,桃園市大園區國際路一段105巷18號,03-3853987#8,https://www.yamaiji-umbrella.com/
32,北部,桃園市,勝昌中草藥探索館,320010,桃園市中壢區民族路六段 436號,0800-588995,https://www.scherb.com.tw
33,北部,桃園市,雅聞魅力博覽館,32665,桃園市楊梅區中山北路1段21巷1號,"03-4883800
0910-605668",http://www.arwin.com.tw
34,北部,桃園市,義美生產‧生態‧生活廠區,33855,桃園市蘆竹區南工路一段11號,03-3117525,http://www.imeifoods.com.tw
35,北部,桃園市,葡萄王健康活力能量館,32471,桃園市平鎮區金陵路二段402號,03-2712121,http://www.grapeking.com.tw
36,北部,桃園市,臺灣菸酒(股)公司桃園觀光酒廠,33382,桃園市龜山區文化一路55號 ,"03-3283001
#340、380、407",https://event.ttl.com.tw/lk/
37,北部,新竹縣,吉比鮮釀識酒館,302081,新竹縣竹北市惟馨街79號,"03-5533288
#143、134",https://gordonbiersch.com.tw
38,北部,新竹市,春池綠能玻璃觀光工廠,300075,工廠：新竹市香山區牛埔南路372號,"03-5389165
0978-001320",http://springpoolglass.com/factory/
39,北部,新竹縣,濟生Beauty兩岸觀光生醫美學健康館,30352,新竹縣湖口鄉勝利村實踐路3號,0800-213568,https://www.csbeauty.com.tw/
40,中部,苗栗縣,立康健康養生觀光工廠,35145,苗栗縣頭份市蘆竹里工業路55號,037-629888,http://www.likang.com.tw
41,中部,苗栗縣,四方鮮乳酪故事館,35047,苗栗縣竹南鎮大厝里9鄰59之13號,037-472609,http://www.fourways.com.tw
42,中部,苗栗縣,竹南啤酒觀光工廠,35048,苗栗縣竹南鎮崎頂里15鄰和興路345號,037-583001#700,https://event.ttl.com.tw/jn/
43,中部,苗栗縣,冠軍綠概念館,36141,苗栗縣造橋鄉豐湖村一鄰乳姑山2號,037-583775,http://www.champion.com.tw
44,中部,苗栗縣,雅聞七里香玫瑰森林,36243,苗栗縣頭屋鄉明德村明德路226號,037-256588,http://www.arwin.com.tw
45,中部,苗栗縣,裕隆、真、造車工廠,36744,苗栗縣三義鄉西湖村伯公坑39之1號,037871801＃2888,http://tour.yulon-motor.com.tw
46,中部,苗栗縣,臺鹽通霄觀光園區,35743,苗栗縣通霄鎮內島里122號,037-792121#825,http://tesf.tybio.com.tw/
47,中部,台中市,寶熊漁樂碼頭,427018,台中市潭子區中山路三段11號,04-35013338,http://www.okumamuseum.com.tw
48,中部,台中市,台灣味噌釀造文化館,42057,台中市豐原區三村里西勢路701號,04-25320279,http://www.weijung.com
49,中部,台中市,伊莎貝爾烘焙觀光工廠,428412,台中市大雅區中清路三段735號,04-25687890#188,https://www.isabellexperience.com.tw/
50,中部,台中市,丸文觀光工廠,412038,台中市大里區仁化里工業11路156號,04-24953600,https://www.wan-wen.com.tw/
51,中部,台中市,阿聰師芋頭文化館,43952,台中市大安區福興里興安路168號,04-26713077,http://www.o-nongs.com.tw
52,中部,台中市,烏日啤酒觀光工廠,41449,台中市烏日區光華街1號,04-23381216,https://event.ttl.com.tw/wz
53,中部,台中市,張連昌薩克斯風博物館,421011,台中市后里區公安路330之1號,"04-25562363
04-25578989",http://www.sax.org.tw
54,中部,台中市,微笑秘密口腔保健館,43769,台中市大甲區日南里幼獅路32號,04-26814585#3105,http://www.chinteng.tw
55,中部,台中市,鞋寶觀光工廠,407263,台中市西屯區工業區8路11號,04-23505773,http://shoeswonderland.bestmotion.com
56,中部,台中市,臺灣菸酒(股)公司臺中觀光酒廠,40768,台中市西屯區協和里工業28路2號,"04-23501318
#448、888",http://event.ttl-eshop.com.tw/tc
57,中部,彰化縣,台塑生醫健康悠活館,50081,彰化縣彰化市中山路三段359號,04-7236101,http://www.fbyoho.com.tw
58,中部,彰化縣,台灣穀堡稻米觀光工廠,52342,彰化縣埤頭鄉彰水路二段526號,04-8926088,http://www.ricecastle.com.tw
59,中部,彰化縣,台灣優格餅乾學院,507004,彰化縣線西鄉草豐路501巷5號,"04-7589501
0966-187501",http://www.cookieschool.com.tw/
60,中部,彰化縣,華新MASK創意生活館,52046,彰化縣田中鎮中州路2段751號,04-8761226,http://www.motexmask.com
61,中部,彰化縣,緞帶王觀光工廠,505029,彰化縣鹿港鎮鹿工路15號,04-7813366,http://www.ribbon888.com
62,中部,彰化縣,水銡利廚衛生活村,504006,彰化縣秀水鄉下崙村育民巷2號,0800-888160#34,http://mizuworld.com.tw/
63,中部,彰化縣,台灣手套博物館,511006,彰化縣社頭鄉織襪一路8號,04-8736168,https://www.good-hand.com.tw/
64,中部,彰化縣,台灣玻璃館,505004,彰化縣鹿港鎮鹿工南四路30號,"04-7811299
#266、#229",http://www.timingjump.com.tw
65,中部,彰化縣,白蘭氏健康博物館,50544,彰化縣鹿港鎮彰濱工業區鹿工路18號,04-7810077,http://www.brands.com.tw/museum/index.html
66,中部,彰化縣,卷木森活館,50544,彰化縣鹿港鎮工業東三路6號,04-7812018,http://jw-garden.com.tw
67,中部,彰化縣,愛玩色創意館,52143,彰化縣北斗鎮三號路296號,04-8886016,http://colortaiwan.com.tw
68,中部,彰化縣,樂活襪之鄉博物館,511006,彰化縣社頭鄉社石路559號,04-8720522,http://www.loho.com.tw
69,中部,彰化縣,興麥蛋捲烘焙王國,507003,彰化縣線西鄉和線路741巷5號,04-7588389,http://www.ximai.com.tw
70,中部,彰化縣,織夢樂園,521055,彰化縣北斗鎮復興路568號,04-8884540,https://dreamweaving.com.tw/
71,中部,彰化縣,襪仔王觀光工廠,52047,彰化縣田中鎮頂潭里員集路3段440巷16弄1號,04-8749909#9,http://www.soxlink.com.tw/soxking/
72,中部,南投縣,Cona's妮娜巧克力夢想城堡,545023,南投縣埔里鎮桃米路32號,049-2919528,http://www.conas.com.tw
73,中部,南投縣,Jijibanana集元果觀光工廠,55242,南投縣集集鎮富山里5鄰大坪巷38號,049-2764562,http://www.jijibanana.net
74,中部,南投縣,水里蛇窯陶藝文化園區,55346,南投縣水里鄉頂崁村水信路一段512巷21號,049-2770967,http://www.snakekiln.com.tw
75,中部,南投縣,台灣麻糬主題?,540405,南投縣南投市自強三路3號,049-2261123,http://www.taiwanmochi.com.tw/
76,中部,南投縣,光遠燈籠觀光工廠,55774,南投縣竹山鎮延平二路11號,049-2642394,http://www.ever-shine.com.tw
77,中部,南投縣,果寶歡酵觀光工廠,545009,南投縣埔里鎮珠格里下湳巷15號,049-2991207,http://www.twfruit.com.tw
78,中部,南投縣,采棉居寢飾文化?,55774,南投縣竹山鎮延平一路12號,049-2642166,http://www.cheauwei.com.tw
79,中部,南投縣,香里活力豬品牌文化館,54065,南投縣南投市南崗工業區仁和路3號,"049-2259999
#204、205",http://www.shanglee.com.tw
80,中部,南投縣,遊山茶訪,55774,南投縣竹山鎮延平路19號,049-2643919#28,http://www.yoshantea.com
81,中部,南投縣,廣興紙寮,545006,南投縣埔里鎮鐵山里鐵山路310號,049-2913037,http://www.taiwanpaper.com.tw
82,中部,南投縣,樹德半山夢工廠,540028,南投縣南投市工業南六路6號,049-2009666,https://www.babbuza.com/
83,中部,南投縣,臺灣菸酒(股)公司南投觀光酒廠,54052,南投市軍功里東山路82號,"049-2234171
#555、556",https://event.ttl.com.tw/lt
84,中部,南投縣,臺灣菸酒(股)公司埔里觀光酒廠,54551,南投縣埔里鎮中山路三段178號,049-2984006#456,http://event.ttl-eshop.com.tw/pl/
85,中部,雲林縣,良作工場農業文創館,63147,雲林縣大埤鄉豐田路57號,05-5529586,http://www.nextland.com.tw
86,中部,雲林縣,塔吉特千層蛋糕大使館,640153,雲林縣斗六市榴中里工業路118號,05-5574516,http://www.jelly.com.tw/embssy.php
87,中部,雲林縣,興隆毛巾觀光工廠,632108,雲林縣虎尾鎮埒內里84-1號,05-6226008,http://www.sltowel.com.tw
88,中部,雲林縣,丸莊醬油觀光工廠,64847,雲林縣西螺鎮延平路25號,05-5863666,http://www.wuanchuang.com.tw
89,中部,雲林縣,大同醬油黑金釀造館,64069,雲林縣斗六市斗工二路39號,05-5576899,"http://www.wretch.cc/blog/tatung1911
http://www.tatungcan.com.tw"
90,中部,雲林縣,台灣鯛生態創意園區,65345,雲林縣口湖鄉崙東村民生路1-88號,05-7993996,http://www.kf-fish.com/tw/subweb2/index.html
91,中部,雲林縣,雅聞峇里海岸觀光工廠,640155,雲林縣斗六市榴中里中興路333號,05-5511585,http://www.arwin.com.tw
92,中部,雲林縣,源順芝麻觀光油廠,633101,雲林縣土庫鎮成功路1-62號,05-6622574,http://www.god-bene.com.tw/
93,中部,雲林縣,瑞春醬油觀光工廠,648005,雲林縣西螺鎮福田里社口68-31號,05-5882288,https://www.rueichun.com.tw/pages/history
94,中部,雲林縣,福祿壽觀光酒廠,646005,雲林縣古坑鄉中山路11號,05-5823106,http://museum.fortunebrewery.com.tw
95,南部,嘉義市,月桃故事館,600051,嘉義市東區保忠一街359號,05-2766399,http://sgsh.mmweb.tw
96,南部,嘉義縣,卡普秀醫美研發中心,62156,嘉義縣民雄鄉民雄工業區成功五街3號,0800-520668,http://www.facebook.com/TS.capsule
97,南部,嘉義縣,卡羅爾銅管樂器觀光工廠,622011,嘉義縣大林鎮大埔美園區20路3號,05-2953688,http://www.carolbrasstourismfactory.com
98,南部,嘉義縣,民雄金桔觀光工廠,62145,嘉義縣民雄鄉三興村陳厝寮7鄰38號,05-2720351,http://www.kingezi.com.tw
99,南部,嘉義縣,佐登妮絲城堡,622011,嘉義縣大林鎮大埔美園區三路15號,04-22917296,https://chateau.jourdeness.com/
100,南部,嘉義縣,余順豐花生觀光工廠,61453,嘉義縣東石鄉蔦松村湖底路20之28號,05-3660605,http://www.peanutempire.com.tw/
101,南部,嘉義縣,冷研碳索館,611001,嘉義縣鹿草鄉馬稠後園區一路38號,05-3620966,https://www.co2tour.com/
102,南部,嘉義縣,欣欣水泥森活園,602037,嘉義縣番路鄉觸口村車埕12號,05-2591588,http://www.hsinhsincement.com
103,南部,嘉義縣,梅問屋梅子元氣館,60342,嘉義縣梅山鄉中山路527號,0800-606060,http://www.plummyume.com.tw
104,南部,嘉義市,愛木村休閒觀光工廠,600054,嘉義市西區文化路909-3號,05-2322441,https://iwoodvillage.com/
105,南部,嘉義縣,臺灣菸酒(股)公司嘉義觀光酒廠,621016,嘉義縣民雄鄉福樂村中山路4號,05-2215721#572,http://event.ttl-eshop.com.tw/cy/
106,南部,台南市,奇美食品幸福工廠,717015,台南市仁德區機場路1008號,06-2698588,http://www.happychimei.com.tw
107,南部,台南市,萬國通路創意觀光工廠,711015,台南市歸仁區中正南路二段1號,06-7007600,https://tw.eminent.com/
108,南部,台南市,黑橋牌香腸博物館,702012,台南市南區新忠路2號,06-2616990#12,http://www.blackbridge.com.tw/mus1.html
109,南部,台南市,TJCOS台鉅美妝觀光工廠,71757,台南市仁德區中正路三段589號,0800-567168,http://tjcos.com.tw
110,南部,台南市,天一中藥生活化園區,720008,台南市官田區二鎮里工業路31號,06-6985800,http://www.itenergy.com.tw
111,南部,台南市,卡多良食故事館,73143,台南市後壁區後壁里42-26號,06-6874762,http://www.cadozea.com.tw/cadozea/
112,南部,台南市,瓜瓜園地瓜生態故事館,71241,台南市新化區中正路65-1號,06-5902966,http://www.kky.com.tw
113,南部,台南市,立康中草藥產業文化館,71041,台南市永康區環工路29號,06-2335356,http://www.herbalmed.com.tw
114,南部,台南市,和明織品文化館,724032,台南市七股區大埕里大埕189號,06-7875288,http://www.hermin.com/hmtm/
115,南部,台南市,彼緹娃藝術蛋糕觀光工廠,722009,台南市佳里區民安里同安寮1之1號,06-7236328,http://www.beautiful-baby.com.tw/
116,南部,台南市,東和蜂文化觀光工廠,733003,台南市東山區東正里東勢1-18號,06-6800773,http://www.thbc.com.tw
117,南部,台南市,美雅家具觀光工廠,73251,台南市白河區馬稠後里甘宅101-1號,06-6817456,http://www.meiyafurniture.com.tw/
118,南部,台南市,虹泰水凝膠世界,71757,台南市仁德區中正路3段523巷116號,06-2724880,http://www.hometech.tw
119,南部,台南市,康那香不織布創意王國,72548,台南市將軍區將軍里三吉66之1號,06-7941573,http://www.knh.com.tw/
120,南部,台南市,善化啤酒廠,74171,台南市善化區成功路2號,06-5838511#441,https://event.ttl.com.tw/sh
121,南部,台南市,港香蘭綠色健康知識館,74147,台南市新市區南科一路1號,06-5052505#2312,http://www.biotanico.com.tw
122,南部,台南市,華美光學eye玩視界,74555,台南市安定區中沙里沙崙30號,06-5937597#6802,http://www.eyecol.com
123,南部,台南市,雅聞湖濱療癒森林,731021,台南市後壁區上茄苳里12之66號,06-6882888,https://app.arwin.com.tw/Shop/StoreDetail/1436/39105
124,南部,台南市,新百祿燕窩觀光工廠,70254,台南市南區新和路38號,06-2650924,http://www.facebook.com/sinbailu
125,南部,台南市,"腳的眼鏡足部科學體驗中心
(紅崴觀光工廠)",70955,台南市安南區鹽田里工業一路23號,"06-2380713
#267、316",http://www.goodarch2u.com/tourism/index.php
126,南部,台南市,蘭都觀光工廠,73443,台南市六甲區和平街185-7號,06-6995208,https://www.orchid-city.com/pages/
127,南部,台南市,臺灣菸酒(股)公司隆田觀光酒廠,72047,台南市官田區中華路一段335號,"06-5791311
#394、443",http://event.ttl-eshop.com.tw/lt/
128,南部,高雄市,台灣滷味博物館,82059,高雄市岡山區本工一路25號,07-6229800,http://www.de-food.com.tw
129,南部,高雄市,宏裕行花枝丸館,80672,高雄市前鎮區新生路240號,07-8111319#1107,https://www.hongyu-food.com.tw/edcontent.php?lang=tw&tb=1
130,南部,高雄市,紅頂穀創穀物文創樂園,813387,高雄市左營區民族一路709號,07-3460333#111,http://www.redbarn709.com
131,南部,高雄市,彪琥台灣鞋故事館,80794,高雄市三民區民族一路335巷43-1號,"07-3892246
#108、109",http://www.puhu.com.tw
132,南部,高雄市,裕賀牛觀光工廠,82444,高雄市燕巢區大仁路68號,07-6151606,http://www.beefschool.com.tw
133,南部,高雄市,FLOMO富樂夢橡皮擦觀光工廠,82942,高雄市湖內區中山路二段42號,07-6996173,https://www.flomogroup.com/
134,南部,高雄市,珍芳烏魚子見學工廠,80673,高雄市前鎮區新衙路296巷81弄13號,07-8227488,http://www.a-ten588.com.tw
135,南部,屏東縣,天明製藥農科觀光藥廠,90846,屏東縣長治鄉德和村神農路3號,08-7629666,http://www.tcmm.com.tw
136,南部,屏東縣,萬寶祿酵素品牌文化館,90846,屏東縣長治鄉德和村神農路17號,08-7624988,http://www.onepower.com.tw
137,南部,屏東縣,鮮饌道海洋食品文化館,92747,屏東縣林邊鄉成功路122號,08-8752229,http://www.jyfood.com.tw
138,南部,屏東縣,臺灣菸酒(股)公司屏東觀光酒廠,91252,屏東縣內埔鄉建國路34號,"08-7781640
#448、430",http://event.ttl-eshop.com.tw/pt/
139,東部,宜蘭縣,噶瑪蘭酒廠,264033,宜蘭縣員山鄉員山路二段326號,03-9229000#1104,http://www.kavalanshisky.com
140,東部,宜蘭縣,台灣足鞋健康知識館,26843,宜蘭縣五結鄉中興村中里路18號,03-9500551*501,http://www.drfoot.com.tw
141,東部,宜蘭縣,亞典蛋糕密碼館,26053,宜蘭縣宜蘭市梅洲二路122號,03-9286777,http://www.rden.com.tw
142,東部,宜蘭縣,一米特米食點心觀光工廠,270009,宜蘭縣蘇澳鎮祥和路199號,03-9907779#500,http://www.onemit.com.tw/
143,東部,宜蘭縣,安永心食館,27048,宜蘭縣蘇澳鎮中山路二段415號,03-9953399,https://www.anyomuseum.com/
144,東部,宜蘭縣,奇麗灣珍奶文化館,27049,宜蘭縣蘇澳鎮頂寮里頂強路23號,03-9909966,https://www.kilibay.net
145,東部,宜蘭縣,宜蘭餅發明館,27009,宜蘭縣蘇澳鎮海山西路369號,03-9905999,http://www.diy-icake.com.tw
146,東部,宜蘭縣,虎牌米粉產業文化館,268015,宜蘭縣五結鄉成興村利興三路５號,03-9907718,http://www.tigerfood.com.tw/old/index.html
147,東部,宜蘭縣,博士鴨觀光工廠,26845,宜蘭縣五結鄉福興村新五路1-1號,03-9606051、2,http://www.dr-duck.com.tw/
148,東部,宜蘭縣,菌寶貝博物館,260023,宜蘭縣宜蘭市梅洲一路22號,03-9281168,http://www.junbaby.com.tw
149,東部,宜蘭縣,溪和水產觀光工廠,268015,宜蘭縣五結鄉利興二路11號,03-9907998,http://www.siho.com.tw
150,東部,宜蘭縣,蜡藝蜡筆城堡,270009,宜蘭縣蘇澳鎮海山西路500號,03-9907101,http://www.luckyart.com.tw
151,東部,宜蘭縣,赫蒂法莊園,268015,宜蘭縣五結鄉五濱路一段40號,03-9908567,http://www.healtdevavillage.com/
152,東部,宜蘭縣,潭酵天地,262009,宜蘭縣礁溪鄉漳福路25號,0800-889096,https://www.hsuslegend.com.tw
153,東部,宜蘭縣,橘之鄉蜜餞觀光工廠,260023,宜蘭縣宜蘭市梅洲二路33號,03-9285758,http://www.agrioz.com.tw
154,東部,宜蘭縣,臺灣菸酒(股)公司宜蘭酒廠觀光工廠,260005,宜蘭縣宜蘭市舊城西路3號,03-9355526#461,http://event.ttl-eshop.com.tw/yl/
155,東部,花蓮縣,台泥DAKA-開放生態循環工廠,972005,花蓮縣秀林鄉和平村和平路二六三號,03-8221161,https://www.tccdaka.com/tw/index.html
156,東部,花蓮縣,香又香便當調查局,97064,花蓮縣花蓮市美工路15號,03-8228111,http://www.xiangyouxiang.com.tw/info.htm
157,東部,花蓮縣,臺灣菸酒(股)公司花蓮觀光酒廠,97064,花蓮市美工路6號,03-8222130,http://event.ttl-eshop.com.tw/hl/
158,東部,台東縣,池上鄉農會觀光工廠金色豐收館,95844,台東縣池上鄉新興村7鄰85-6號,089-865936,http://csfa.org.tw/
